Date,Area,Title,Type,Bedroom,Size,Price
 3 Bedrooms , Cyberjaya ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 2 Bedrooms ,516 sq.ft, RM 180 000 
 2 Bathrooms , Puchong ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 3 Bedrooms ,700 sq.ft, RM 285 000 
"  Yesterday, 21:00   Seri Kembangan   ", Shah Alam ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,850 sq.ft, RM 363 240 
 Apartments , Shah Alam ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 236 000 
720 sq.ft, Shah Alam ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,850 sq.ft, RM 247 000 
 3 Bedrooms , Cyberjaya ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 235 000 
 2 Bathrooms , Saujana ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,750 sq.ft, RM 300 000 
"  Yesterday, 21:00   Seri Kembangan   ", Klang ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 200 000 
 Apartments , Batu Caves ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 3 Bedrooms ,780 sq.ft, RM 490 000 
864 sq.ft, Shah Alam ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,753 sq.ft, RM 399 999 
 4 Bedrooms , Bangi ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 3 Bedrooms ,882 sq.ft, RM 350 000 
 2 Bathrooms , Damansara Damai ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,663 sq.ft, RM 90 000 
"  Yesterday, 20:44   Bandar Utama   ", USJ ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 2 Bedrooms ,665 sq.ft, RM 240 000 
 Apartments , Kelana Jaya ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 300 000 
1423 sq.ft, Kelana Jaya ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,980 sq.ft, RM 310 000 
 4 Bedrooms , Puchong ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,700 sq.ft, RM 195 000 
 4 Bathrooms , Bangi ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 4 Bedrooms ,1913 sq.ft, RM 35 500 
"  Yesterday, 20:24   Selayang   ", Ara Damansara ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,817 sq.ft, RM 680 000 
 Apartments , Seri Kembangan ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,855 sq.ft, RM 580 000 
487 sq.ft, Bangi ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,1200 sq.ft, RM 153 000 
 2 Bedrooms , Bangi ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,816 sq.ft, RM 100 000 
 1 Bathroom , Klang ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 1 Bedroom ,450 sq.ft, RM 408 000 
"  Yesterday, 19:50   Serdang   ", Seri Kembangan ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,1070 sq.ft, RM 420 000 
 Apartments , Seri Kembangan ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,750 sq.ft, RM 190 000 
720 sq.ft, Bandar Utama ,  Renovated ground floor apartment  , Apartments , 2 Bedrooms ,615 sq.ft, RM 245 000 
 3 Bedrooms , Selayang ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 2 Bedrooms ,753 sq.ft, RM 116 700 
 1 Bathroom , Serdang ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,753 sq.ft, RM 150 000 
"  Yesterday, 19:47   Tropicana   ", Damansara Damai ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 3 Bedrooms ,689 sq.ft, RM 280 000 
 Apartments , Damansara Damai ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,652 sq.ft, RM 800 000 
850 sq.ft, Balakong ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 3 Bedrooms ,940 sq.ft, RM 129 000 
 3 Bedrooms , Ulu Klang ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,900 sq.ft, RM 135 000 
 2 Bathrooms , Ampang ,  Bayu Puteri Apartment Nice Unit  , Apartments , 4 Bedrooms ,800 sq.ft, RM 420 000 
"
New
", Gombak ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,864 sq.ft, RM 155 000 
"
Hobby & Collectibles
", Puchong ,  Saujana apartment damansara damai  , Apartments , 3 Bedrooms ,857 sq.ft, RM 250 000 
"  Today, 04:13   Damansara Damai   ", Damansara Perdana ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,720 sq.ft, RM 170 000 
 Apartments , Puchong ,  Residensi Permata Melawati  , Apartments , 4 Bedrooms ,864 sq.ft, RM 463 950 
516 sq.ft, Kota Kemuning ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 4 Bedrooms ,1423 sq.ft, RM 265 000 
 2 Bedrooms , Ampang ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 2 Bedrooms ,487 sq.ft, RM 490 000 
 1 Bathroom , Sepang ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,720 sq.ft, RM 245 000 
"  Today, 03:08   Damansara Damai   ", Cyberjaya ,"  Metropolitan square condo damansara perdana,  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 900 000 
 Apartments , Puchong ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  ,"
Apartments
","
2 Bedrooms
","620 sq.ft
", RM 180 000 
700 sq.ft, Shah Alam ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  ,"
Apartments
","
3 Bedrooms
","1022 sq.ft
", RM 285 000 
 3 Bedrooms , Shah Alam ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 2 Bedrooms ,516 sq.ft, RM 363 240 
 2 Bathrooms , Shah Alam ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 3 Bedrooms ,700 sq.ft, RM 236 000 
"  Today, 03:07   Balakong   ", Cyberjaya ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,850 sq.ft, RM 247 000 
 Apartments , Saujana ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 235 000 
850 sq.ft, Klang ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 300 000 
 3 Bedrooms , Batu Caves ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 200 000 
 2 Bathrooms , Shah Alam ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 3 Bedrooms ,750 sq.ft, RM 490 000 
"  Today, 02:05   Ulu Klang   ", Bangi ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 399 999 
 Apartments , Damansara Damai ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 3 Bedrooms ,780 sq.ft, RM 350 000 
1000 sq.ft, USJ ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,753 sq.ft, RM 90 000 
 3 Bedrooms , Kelana Jaya ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,882 sq.ft, RM 240 000 
 2 Bathrooms , Kelana Jaya ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,663 sq.ft, RM 300 000 
"  Today, 02:05   Ampang   ", Puchong ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 2 Bedrooms ,665 sq.ft, RM 310 000 
 Apartments , Bangi ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,850 sq.ft, RM 195 000 
850 sq.ft, Ara Damansara ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,980 sq.ft, RM 35 500 
 3 Bedrooms , Seri Kembangan ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,700 sq.ft, RM 680 000 
 2 Bathrooms , Bangi ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 580 000 
"  Today, 01:22   Gombak   ", Bangi ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,817 sq.ft, RM 153 000 
 Apartments , Klang ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,855 sq.ft, RM 100 000 
1130 sq.ft, Seri Kembangan ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,1200 sq.ft, RM 408 000 
 3 Bedrooms , Seri Kembangan ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,816 sq.ft, RM 420 000 
 2 Bathrooms , Bandar Utama ,  End lot apt sri tanjung bangi  , Apartments , 1 Bedroom ,450 sq.ft, RM 190 000 
"  Today, 01:18   Puchong   ", Selayang ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,1070 sq.ft, RM 245 000 
 Apartments , Serdang ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,750 sq.ft, RM 116 700 
750 sq.ft, Damansara Damai ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 2 Bedrooms ,615 sq.ft, RM 150 000 
 3 Bedrooms , Damansara Damai ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 2 Bedrooms ,753 sq.ft, RM 280 000 
 2 Bathrooms , Balakong ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,753 sq.ft, RM 800 000 
"  Today, 00:50   Damansara Perdana   ", Ulu Klang ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 3 Bedrooms ,689 sq.ft, RM 129 000 
 Apartments , Ampang ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,652 sq.ft, RM 135 000 
2005 sq.ft, Gombak ,  Bayu Puteri Apartment Nice Unit  , Apartments , 3 Bedrooms ,940 sq.ft, RM 420 000 
 4 Bedrooms , Puchong ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,900 sq.ft, RM 155 000 
 4 Bathrooms , Damansara Perdana ,  Saujana apartment damansara damai  , Apartments , 4 Bedrooms ,800 sq.ft, RM 250 000 
"  Today, 00:20   Puchong   ", Puchong ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,864 sq.ft, RM 170 000 
 Apartments , Kota Kemuning ,  Residensi Permata Melawati  , Apartments , 3 Bedrooms ,857 sq.ft, RM 463 950 
780 sq.ft, Ampang ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,720 sq.ft, RM 265 000 
 3 Bedrooms , Sepang ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 4 Bedrooms ,864 sq.ft, RM 490 000 
 2 Bathrooms , Cyberjaya ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 245 000 
"  Today, 00:20   Kota Kemuning   ", Puchong ,"  Metropolitan square condo damansara perdana,  ", Apartments , 2 Bedrooms ,487 sq.ft, RM 900 000 
 Apartments , Shah Alam ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,720 sq.ft, RM 180 000 
753 sq.ft, Shah Alam ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 285 000 
 3 Bedrooms , Shah Alam ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  ,"
Apartments
","
3 Bedrooms
","650 sq.ft
", RM 363 240 
 2 Bathrooms , Cyberjaya ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  ,"
Apartments
","
3 Bedrooms
","850 sq.ft
", RM 236 000 
"  Today, 00:10   Ampang   ", Saujana ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 2 Bedrooms ,516 sq.ft, RM 247 000 
 Apartments , Klang ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 3 Bedrooms ,700 sq.ft, RM 235 000 
882 sq.ft, Batu Caves ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 300 000 
 3 Bedrooms , Shah Alam ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 200 000 
 2 Bathrooms , Bangi ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 490 000 
"  Today, 00:05   Sepang   ", Damansara Damai ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,1130 sq.ft, RM 399 999 
 Apartments , USJ ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 3 Bedrooms ,750 sq.ft, RM 350 000 
663 sq.ft, Kelana Jaya ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 4 Bedrooms ,2005 sq.ft, RM 90 000 
 3 Bedrooms , Kelana Jaya ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,780 sq.ft, RM 240 000 
 2 Bathrooms , Puchong ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 3 Bedrooms ,753 sq.ft, RM 300 000 
"  Today, 00:05   Cyberjaya   ", Bangi ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,882 sq.ft, RM 310 000 
 Apartments , Ara Damansara ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,663 sq.ft, RM 195 000 
665 sq.ft, Seri Kembangan ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 2 Bedrooms ,665 sq.ft, RM 35 500 
 2 Bedrooms , Bangi ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,850 sq.ft, RM 680 000 
 2 Bathrooms , Bangi ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 3 Bedrooms ,980 sq.ft, RM 580 000 
"  Yesterday, 23:45   Puchong   ", Klang ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,700 sq.ft, RM 153 000 
 Apartments , Seri Kembangan ,  Apartment dahlia bandar seri putra  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 100 000 
850 sq.ft, Seri Kembangan ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,817 sq.ft, RM 408 000 
 3 Bedrooms , Bandar Utama ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 3 Bedrooms ,855 sq.ft, RM 420 000 
 2 Bathrooms , Selayang ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,1200 sq.ft, RM 190 000 
"  Yesterday, 23:45   Shah Alam   ", Serdang ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,816 sq.ft, RM 245 000 
 Apartments , Damansara Damai ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 1 Bedroom ,450 sq.ft, RM 116 700 
980 sq.ft, Damansara Damai ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,1070 sq.ft, RM 150 000 
 3 Bedrooms , Balakong ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 3 Bedrooms ,750 sq.ft, RM 280 000 
 2 Bathrooms , Ulu Klang ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 2 Bedrooms ,615 sq.ft, RM 800 000 
"  Yesterday, 23:45   Shah Alam   ", Ampang ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 2 Bedrooms ,753 sq.ft, RM 129 000 
 Apartments , Gombak ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 3 Bedrooms ,753 sq.ft, RM 135 000 
700 sq.ft, Puchong ,  Bayu Puteri Apartment Nice Unit  , Apartments , 3 Bedrooms ,689 sq.ft, RM 420 000 
 3 Bedrooms , Damansara Perdana ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,652 sq.ft, RM 155 000 
 2 Bathrooms , Puchong ,  Saujana apartment damansara damai  , Apartments , 3 Bedrooms ,940 sq.ft, RM 250 000 
"  Yesterday, 23:10   Shah Alam   ", Kota Kemuning ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,900 sq.ft, RM 170 000 
 Apartments , Ampang ,  Residensi Permata Melawati  , Apartments , 4 Bedrooms ,800 sq.ft, RM 463 950 
1913 sq.ft, Sepang ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,864 sq.ft, RM 265 000 
 4 Bedrooms , Cyberjaya ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 3 Bedrooms ,857 sq.ft, RM 490 000 
 4 Bathrooms , Puchong ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,720 sq.ft, RM 245 000 
"  Yesterday, 23:09   Cyberjaya   ", Shah Alam ,"  Metropolitan square condo damansara perdana,  ", Apartments , 4 Bedrooms ,864 sq.ft, RM 900 000 
 Apartments , Shah Alam ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 180 000 
817 sq.ft, Shah Alam ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 2 Bedrooms ,487 sq.ft, RM 285 000 
 3 Bedrooms , Cyberjaya ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 3 Bedrooms ,720 sq.ft, RM 363 240 
 2 Bathrooms , Saujana ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 3 Bedrooms ,850 sq.ft, RM 236 000 
"  Yesterday, 23:01   Saujana   ", Klang ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  ,"
Apartments
","
2 Bedrooms
","620 sq.ft
", RM 247 000 
 Apartments , Batu Caves ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  ,"
Apartments
","
3 Bedrooms
","1237 sq.ft
", RM 235 000 
855 sq.ft, Shah Alam ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  , Apartments , 2 Bedrooms ,516 sq.ft, RM 300 000 
 3 Bedrooms , Bangi ,  [ 700SQFT LEVEL 1 ] Flat PKNS Seksyen 16 Shah Alam  , Apartments , 3 Bedrooms ,700 sq.ft, RM 200 000 
 2 Bathrooms , Damansara Damai ,  Duplex Townhouse Sri Mahligai Seksyen 9 Shah Alam  , Apartments , 3 Bedrooms ,850 sq.ft, RM 490 000 
"  Yesterday, 22:45   Klang   ", USJ ,  New Condo With Promotion in Putrajaya (7 Unit Left)  , Apartments , 3 Bedrooms ,1000 sq.ft, RM 399 999 
 Apartments , Kelana Jaya ,  (7 Unit Left With Promotion) New Condo in Damansara Damai  , Apartments , 3 Bedrooms ,850 sq.ft, RM 350 000 
1200 sq.ft, Kelana Jaya ,"  Taman Sri Sentosa, Jalan Bendahara, Freehold, Level 3  ", Apartments , 3 Bedrooms ,1130 sq.ft, RM 90 000 
 3 Bedrooms , Puchong ,  SKIM 1st HOME FULLOAN Sri Gotong Banjaria [ BULANAN 1K+- ]  , Apartments , 3 Bedrooms ,750 sq.ft, RM 240 000 
 2 Bathrooms , Bangi ,  BELOW MARKET VALUE APPARTMENT menara u2 sebelah Aeon Shah Alam  , Apartments , 4 Bedrooms ,2005 sq.ft, RM 300 000 
"  Yesterday, 22:45   Batu Caves   ", Ara Damansara ,  FREEHOLD Kondominium Pelangi Sg Merab Bangi  , Apartments , 3 Bedrooms ,780 sq.ft, RM 310 000 
 Apartments , Seri Kembangan ,  STRATA O DEPO Bayu Saujana Indah Condo | PRIMA Damansara  , Apartments , 3 Bedrooms ,753 sq.ft, RM 195 000 
816 sq.ft, Bangi ,"  For Sale= Main Place Residence USJ, Beside LRT Below Market Price!!!!  ", Apartments , 3 Bedrooms ,882 sq.ft, RM 35 500 
 3 Bedrooms , Bangi ,  Service Apartment Kelana Jaya  , Apartments , 3 Bedrooms ,663 sq.ft, RM 680 000 
 2 Bathrooms , Klang ,  First Sky Facilities in PJ Fully Furnished Package  , Apartments , 2 Bedrooms ,665 sq.ft, RM 580 000 
"  Yesterday, 22:34   Shah Alam   ", Seri Kembangan ,"  【2nd Floor】[FULL LOAN] Sri Dahlia Apartment, Bandar Puteri Puchong  ", Apartments , 3 Bedrooms ,850 sq.ft, RM 153 000 
 Apartments , Seri Kembangan ,  Apartment dahlia bandar seri putra  , Apartments , 3 Bedrooms ,980 sq.ft, RM 100 000 
450 sq.ft, Bandar Utama ,  Lily Apartment in Taman Mayang Jaya  , Apartments , 3 Bedrooms ,700 sq.ft, RM 408 000 
 1 Bedroom , Selayang ,  The Sanderson Suites Bukit Serdang 3r2b For SALE !!!!  , Apartments , 4 Bedrooms ,1913 sq.ft, RM 420 000 
 1 Bathroom , Serdang ,  End lot apt sri tanjung bangi  , Apartments , 3 Bedrooms ,817 sq.ft, RM 190 000 
"  Yesterday, 22:25   Bangi   ", Damansara Damai ,  Renovated ground floor apartment  , Apartments , 3 Bedrooms ,855 sq.ft, RM 245 000 
 Apartments , Damansara Damai ,"  Below Market 27% | Pangsapuri Impian Meru, Meru Klang | 857sf Freehold  ", Apartments , 3 Bedrooms ,1200 sq.ft, RM 116 700 
1070 sq.ft, Balakong ,"  Pangsapuri Ruselia , Equine, putrajaya , Seri Kembangan, puchong MRT  ", Apartments , 3 Bedrooms ,816 sq.ft, RM 150 000 
 3 Bedrooms , Ulu Klang ,"  Ground floor putra indah ,fully reno ,seri kembangan equine,putrajaya  ", Apartments , 1 Bedroom ,450 sq.ft, RM 280 000 
 2 Bathrooms , Ampang ,"  Glomac Centro,One Utama,Kota Damansara,Damansara Perdana  ", Apartments , 3 Bedrooms ,1070 sq.ft, RM 800 000 
"  Yesterday, 22:24   Damansara Damai   ", Gombak ,"  APARTMENT FOR SALE at JULIA BANDAR BARU SELAYANG, SELANGOR  ", Apartments , 3 Bedrooms ,750 sq.ft, RM 129 000 
 Apartments , Puchong ,  (Full Loan)* Serdang Perdana Apartment Seri Kembangan  , Apartments , 2 Bedrooms ,615 sq.ft, RM 135 000 
750 sq.ft, Damansara Perdana ,  Bayu Puteri Apartment Nice Unit  , Apartments , 2 Bedrooms ,753 sq.ft, RM 420 000 
 3 Bedrooms , Puchong ,  Apartment termurah cheras  , Apartments , 3 Bedrooms ,753 sq.ft, RM 155 000 
 2 Bathrooms , Kota Kemuning ,  Saujana apartment damansara damai  , Apartments , 3 Bedrooms ,689 sq.ft, RM 250 000 
"  Yesterday, 22:21   USJ   ", Ampang ,  [Ready Tenant Rent RM1300 Sublet] Seri Jasa Apartment walk The Mines  , Apartments , 3 Bedrooms ,652 sq.ft, RM 170 000 
 Apartments , Sepang ,  Residensi Permata Melawati  , Apartments , 3 Bedrooms ,940 sq.ft, RM 463 950 
615 sq.ft, Cyberjaya ,"  For sale (1st floor) SRI WIRA APARTMENT ,UKAY PERDANA, AMPANG  ", Apartments , 3 Bedrooms ,900 sq.ft, RM 265 000 
 2 Bedrooms , Puchong ,  PANORAMA SENTUL RESIDEN. Tmn Bullion Batu Caves Gombak  , Apartments , 4 Bedrooms ,800 sq.ft, RM 490 000 
 1 Bathroom , Shah Alam ,  [FREEHOLD LEVEL 1] ORCHID APARTMENT PUCHONG PRIMA 4 min walking to LRT  , Apartments , 3 Bedrooms ,864 sq.ft, RM 245 000 
"  Yesterday, 22:15   Kelana Jaya   ", Shah Alam ,"  Metropolitan square condo damansara perdana,  ", Apartments , 3 Bedrooms ,857 sq.ft, RM 900 000 
 Apartments , Shah Alam ,  [NON BUMI TENANTED] Apartment Penaga Mas Puchong Near LRT For Sale  , Apartments , 3 Bedrooms ,720 sq.ft, RM 180 000 
753 sq.ft, Cyberjaya ,  [FREEHOLD GROUND FLOOR] Pangsapuri Sri Kemuning Kota Kemuning S Alam  , Apartments , 4 Bedrooms ,864 sq.ft, RM 285 000 
 2 Bedrooms , Saujana ,  Casamas Court !!! Ukay Bistari 0% Deposit !!! 90% Completed  , Apartments , 4 Bedrooms ,1423 sq.ft, RM 363 240 
 1 Bathroom , Klang ,  Hot Selling Fast Condo at Sepang ! Fast Contact me NOW!  , Apartments , 2 Bedrooms ,487 sq.ft, RM 236 000 
"  Yesterday, 22:10   Kelana Jaya   ", Batu Caves ,  High Rental and High Capital Gain at Cyberjaya! Grad it Now!  , Apartments , 3 Bedrooms ,720 sq.ft, RM 247 000 
 Apartments , Shah Alam ,  [MEDIUM COST BELOW MV CORNER] Apartment Puchong Permata 1  , Apartments , 3 Bedrooms ,850 sq.ft, RM 235 000 
753 sq.ft, Bangi ,  [HOT AREA NICE DECORATION] Condominium Prima U1 Shah Alam  ,"
Apartments
","
3 Bedrooms
","849 sq.ft
", RM 300 000 
